id;id_ex;siret;gestion;date_creat;date_publi;nature;groupement;titre;objet;objet_social1;objet_social2;adr1;adr2;adr3;adrs_codepostal;libcom;adrs_codeinsee;dir_civilite;siteweb;observation;position;rup_mi;maj_time
"2A1P02A1000001";"02A1000001";"";"2A1P";"0001-01-01";"1902-07-23";"D";"S";"SOCIETE T";"L'aide aux pauvres";"000000";"000000";"Maison gambarelli";"";"";"20119";"BASTELICA";"2A031";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-01  02:38:57"
"2A1P02A1000002";"02A1000002";"";"2A1P";"0001-01-01";"1903-10-04";"D";"S";"ASSOCIATION SOCIETE MIXTE DE TIR DU 116° TERRITORIAL";"Enseignement du tir";"000000";"000000";"1, rue des ecoles";"";"";"20000";"AJACCIO";"2A004";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-01  02:38:57"
"2A1P02A1000003";"02A1000003";"";"2A1P";"0001-01-01";"1905-05-04";"D";"S";"ASSOCIATION SOCIETE DES COURSES D'AJACCIO";"Amelioration de la race chevaline";"000000";"000000";"4 cours grandval";"";"";"20000";"AJACCIO";"2A004";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-01  02:38:57"
"2A1P02A1000004";"02A1000004";"";"2A1P";"0001-01-01";"1907-12-12";"D";"S";"ASSOCIATION SOCIETE SCOLAIRE DE TIR DE L'ECOLE NORMALE D'AJACCIO";"Theorie et pratique du tir";"000000";"000000";"Ecole normale";"";"";"20000";"AJACCIO";"2A004";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-01  02:38:57"
"2A1P02A1000005";"02A1000005";"";"2A1P";"0001-01-01";"1910-05-01";"D";"S";"AMICALE DES CANTONNIERS ET CHEFS CANTONNIERS DE LA CORSE";"Defense des interets economiques de ses membres. secours.";"000000";"000000";"4 rue marechal ornano";"";"";"20000";"AJACCIO";"2A004";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-01  02:38:57"
"2A1P02A1000006";"02A1000006";"";"2A1P";"0001-01-01";"1911-02-14";"D";"S";"SYNDICAT DES PROPRIETAIRES DE LA VILLE D'AJACCIO";"Defense des interets de la propriete batie , hygiene et developpe_ment de la ville.";"000000";"000000";"Syndicat agricole place du diamant.";"";"";"20000";"AJACCIO";"2A004";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-01  02:38:57"
"2A1P02A1000007";"02A1000007";"";"2A1P";"0001-01-01";"1911-03-20";"D";"S";"ASSOCIATION SOCIETE SCOLAIRE DE TIR DU COLLEGE FESCH D'AJACCIO";"Organiser, propager et vulgariser l'etude theorique et pratique du tir dans l'etablissement.";"000000";"000000";"College fesch";"";"";"20000";"AJACCIO";"2A004";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-01  02:38:57"
"2A1P02A1000008";"02A1000008";"";"2A1P";"0001-01-01";"1912-06-14";"D";"S";"UNION CYCLISTE AJACCIENNE";"Cyclisme";"000000";"000000";"31 rue fesch";"";"";"20000";"AJACCIO";"2A004";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-01  02:38:57"
"2A1P02A1000009";"02A1000009";"";"2A1P";"0001-01-01";"1913-04-23";"D";"S";"AMICALE DES ANCIENS ELEVES DU COLLEGE FESCH D'AJACCIO";"Prosperite materielle et morale du college";"000000";"000000";"College fesch";"";"";"20000";"AJACCIO";"2A004";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-01  02:38:57"
"2A1P02A1000010";"02A1000010";"";"2A1P";"0001-01-01";"1913-11-04";"D";"S";"SYNDICAT D'INITIATIVE POUR L'AMELIORATION DE LA COMMUNE DE CIAMANNACCE";"Amelioration materielle de la commune";"000000";"000000";"Ciamannacce";"";"";"20134";"CIAMANNACCE";"2A089";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-01  02:38:57"
"2A1P02A1000011";"02A1000011";"";"2A1P";"0001-01-01";"1913-11-08";"D";"S";"ASSOCIATION AUTONOME DE LA CORSE DU PERSONNEL DE L'ENSEIGNEMENT PUBLIC";"Enseignement";"000000";"000000";"Rue ornano";"";"";"20000";"AJACCIO";"2A004";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-01  02:38:57"
"2A1P02A1000012";"02A1000012";"";"2A1P";"0001-01-01";"1914-02-10";"D";"S";"ASSOCIATION LA ST HUBERT D'AJACCIO";"Conservation du gibier et repression du braconnage.";"000000";"000000";"1 place des palmiers";"";"";"20000";"AJACCIO";"2A004";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-01  02:38:57"
"2A1P02A1000013";"02A1000013";"";"2A1P";"0001-01-01";"1914-06-09";"D";"S";"ASSOCIATION PATRONAGE LAIQUE DE LA VILLE D'AJACCIO.";"Soustraire l'enfance aux dangers de la rue.";"000000";"000000";"36 cours napoleon";"";"";"20000";"AJACCIO";"2A004";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-01  02:38:57"
"2A1P02A1000014";"02A1000014";"";"2A1P";"0001-01-01";"1917-04-28";"D";"S";"ASSOCIATION SOU DES ECOLES PUBLIQUES DE LA VILLE D'AJACCIO.";"Aide materielle et morale aux eleves necessiteux.";"000000";"000000";"Ajaccio";"";"";"20000";"AJACCIO";"2A004";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-01  02:38:57"
"2A1P02A1000015";"02A1000015";"";"2A1P";"0001-01-01";"1918-02-27";"D";"S";"AMICALE DES MEMBRES DE L'ENSEIGNEMENT PRIMAIRE PUBLIC DE LA CORSE.";"Association amicale et professionnelle.";"000000";"000000";"Ecole de la rue des ecoles.";"";"";"20000";"AJACCIO";"2A004";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-01  02:38:57"
"2A1P02A1000016";"02A1000016";"";"2A1P";"0001-01-01";"1918-08-08";"D";"S";"ASSOCIATION LA LIBRE PENSEE D'AJACCIO";"Combattre l'ignorance.";"000000";"000000";"9 cours napoleon";"";"";"20000";"AJACCIO";"2A004";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-01  02:38:57"
"2A1P02A1000017";"02A1000017";"";"2A1P";"0001-01-01";"1919-09-19";"D";"S";"ASSOCIATION DES VEUVES ET ORPHELINS DE LA GUERRE DU DEPARTEMENT DE LA CORSE.";"Aide et protection.";"000000";"000000";"Hotel de ville";"";"";"20000";"AJACCIO";"2A004";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-01  02:38:57"
"2A1P02A1000018";"02A1000018";"";"2A1P";"0001-01-01";"1920-03-04";"D";"S";"ASSOCIATION MUTUELLE DE LA BARRIERE.";"Reunir tous les membres dans une seule volonte pour l'interet general.";"000000";"000000";"35 cours napoleon";"";"";"20000";"AJACCIO";"2A004";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-01  02:38:57"
"2A1P02A1000019";"02A1000019";"";"2A1P";"0001-01-01";"1920-03-16";"D";"S";"FEDERAZIONE DES SYNDICATS D'INITIATIVE DE LA CORSE.";"Defense des interets economiques de la corse et le developpement du tourisme.";"000000";"000000";"2 cours grandval";"";"";"20000";"AJACCIO";"2A004";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-01  02:38:57"
"2A1P02A1000020";"02A1000020";"";"2A1P";"0001-01-01";"1920-05-18";"D";"S";"ASSOCIATION CERCLE DU COMMERCE";"Favoriser le developpement commercial et agricole.";"000000";"000000";"Cours napoleon";"";"";"20000";"AJACCIO";"2A004";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-01  02:38:57"
"2A1P02A1000021";"02A1000021";"";"2A1P";"0001-01-01";"1920-06-22";"D";"S";"ASSOCIATION COMPAGNIE DES GREFFIERS DE JUSTICE DE PAIX ET DE SIMPLE POLICE  DE LA CORSE.";"Proteger les interets de ses membres.";"000000";"000000";"Hotel de ville";"";"";"20000";"AJACCIO";"2A004";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-01  02:38:57"
"2A1P02A1000022";"02A1000022";"";"2A1P";"0001-01-01";"1921-01-26";"D";"S";"UNION DES VEUVES DE GUERRE DE LA CORSE.";"Soutien moral et materiel, cohesion des efforts en vue de la defense des interets.";"000000";"000000";"Mairie d'ajaccio";"";"";"20000";"AJACCIO";"2A004";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-01  02:38:57"
"2A1P02A1000023";"02A1000023";"";"2A1P";"0001-01-01";"1921-03-09";"D";"S";"ASSOCIATION JEUNESSE SPORTIVE AJACCIENNE.";"Pratique de la culture physique.";"000000";"000000";"45 cours napoleon";"";"";"20000";"AJACCIO";"2A004";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-01  02:38:57"
"2A1P02A1000024";"02A1000024";"";"2A1P";"0001-01-01";"1921-03-24";"D";"S";"UNION FRATERNELLE DES REFORMES DE LA CORSE.";"Soutien moral et defense des interets des adherents.";"000000";"000000";"32 cours napoleon";"";"";"20000";"AJACCIO";"2A004";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-01  02:38:57"
"2A1P02A1000025";"02A1000025";"";"2A1P";"0001-01-01";"1921-04-05";"D";"S";"COMITE AJACCIEN DU CENTENAIRE DE LA MORT DE NAPOLEON 1ER;";"Commemorer par des ceremonies et erection d'un monument";"000000";"000000";"Boulevard lantivy";"Villa ' le gourbi'";"";"20000";"AJACCIO";"2A004";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-01  02:38:57"
"2A1P02A1000026";"02A1000026";"";"2A1P";"0001-01-01";"1921-04-20";"D";"S";"COMITE D'ACTION REPUBLICAINE DEMOCRATIQUE ET SOCIALE.";"Organiser des causeries tant au point de vue politique qu'economi8que, industriel et agricole.";"000000";"000000";"7 cours napoleon";"";"";"20000";"AJACCIO";"2A004";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-01  02:38:57"
"2A1P02A1000027";"02A1000027";"";"2A1P";"0001-01-01";"1921-06-23";"D";"S";"ASSOCIATION CERCLE CYRNOS";"Developper l'idee sportive et faciliter la pratique de tous les sports athletiques.";"000000";"000000";"21 cours napoleon";"";"";"20000";"AJACCIO";"2A004";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-01  02:38:57"
"2A1P02A1000028";"02A1000028";"";"2A1P";"0001-01-01";"1921-08-09";"D";"S";"ASSOCIATION DES INTERIMAIRES DE L'ENSEIGNEMENT PRIMAIRE DE LA CORSE.";"Defense des interets professionnels de ses membres.";"000000";"000000";"10 rue marechal ornano";"";"";"20000";"AJACCIO";"2A004";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-01  02:38:57"
"2A1P02A1000029";"02A1000029";"";"2A1P";"0001-01-01";"1921-10-21";"D";"S";"COMITE DES INTERETS DES HABITANTS DE LA RUE FESCH";"Comite de propagande des interets de la rue fesch au point de vue hygiene.";"000000";"000000";"29 rue fesch";"";"";"20000";"AJACCIO";"2A004";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-01  02:38:57"
"2A1P02A1000030";"02A1000030";"";"2A1P";"0001-01-01";"1921-10-25";"D";"S";"ASSOCIATION SOCIETE DE SPORTS ET DE TIR DE STE MARIE SICCHE.";"Sports athletiques. preparation militaire.";"000000";"000000";"Ste marie sicche";"";"";"20190";"SANTA-MARIA-SICHE";"2A312";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-01  02:38:57"
"2A1P02A1000032";"02A1000032";"";"2A1P";"0001-01-01";"1922-01-26";"D";"S";"COMITE FEDERAL DES ASSOCIATIONS DES MUTILES REFORMES , COMBATTANTS ET  P.G. DE LA CORSE.";"Unifier la ligne de conduite de tous les groupements et coordonnerleurs efforts pour la defense de leurs interets corporatifs.";"000000";"000000";"Ancien grand seminaire d'ajaccio";"";"";"20000";"AJACCIO";"2A004";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-01  02:38:57"
"2A1P02A1000036";"02A1000036";"";"2A1P";"0001-01-01";"1922-05-20";"D";"S";"ASSOCIATION AIGLON SPORTIF AJACCIEN";"Societe sportive.";"000000";"000000";"2 rue napoleon.";"";"";"20000";"AJACCIO";"2A004";"PM";"";"reprise auto => date publication création au JO à vérifier";"D";"";"2006-02-01  02:38:57"
"2A1P02A1000040";"02A1000040";"";"2A1P";"0001-01-01";"1923-01-05";"D";"S";"ASSOCIATION CERCLE D'ACTION REPUBLICAINE DE PIANA.";"Traiter les questions economiques corses.";"000000";"000000";"Chez mr versini dominique a piana";"";"";"20115";"PIANA";"2A212";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-01  02:38:57"
