id;id_ex;siret;gestion;date_creat;date_publi;nature;groupement;titre;objet;objet_social1;objet_social2;adr1;adr2;adr3;adrs_codepostal;libcom;adrs_codeinsee;dir_civilite;siteweb;observation;position;rup_mi;maj_time
"461P0461000002";"0461000002";"";"461P";"0001-01-01";"1934-04-10";"D";"S";"ASSOCIATION NATIONALE DES POUDRIERS DE LA GRANDE GUERRE (SECTION DU LOT).";"DEFENDRE LES INTERETS DES POUDRIERS ET LEUR FAIRE OBTENIR TOUS LESAVANTAGES QUI LEUR REVIENNENT LEGITIMEMENT.";"000000";"000000";"VILLA MARIE-HENRY";"SAINT-GEORGES";"";"46000";"CAHORS";"46042";"PM";"";"reprise auto => date publication création au JO à vérifier";"A";"";"2006-01-24  01:20:47"
"461P0461000003";"0461000003";"";"461P";"0001-01-01";"1934-06-07";"D";"S";"ASSOCIATION RADIOPHONIQUE DE LA REGION DE MONTCUQ.";"DEVELOPPEMENT DE LA T.S.F.";"000000";"000000";"MAIRIE";"";"";"46800";"MONTCUQ";"46201";"PM";"";"reprise auto => date publication création au JO à vérifier";"A";"";"2006-01-24  01:20:47"
"461P0461000004";"0461000004";"";"461P";"0001-01-01";"1934-06-01";"D";"S";"SYNDICAT DES CONCESSIONNAIRES DE SERVICE PUBLIC DE TRANSPORT PAR AUTOMOBILES DANS LE DEPARTEMENT DU LOT.";"SAUVEGARDER LES INTERETS DES ADHERENTS.";"000000";"000000";"40, BOULEVARD GAMBETTA";"";"";"46000";"CAHORS";"46042";"PM";"";"reprise auto => date publication création au JO à vérifier";"A";"";"2006-01-24  01:20:47"
"461P0461000006";"0461000006";"";"461P";"0001-01-01";"1934-09-30";"D";"S";"LA BOULE CATUSSIENNE.";"DEVELOPPER LA BONNE CAMARADERIE ENTRE TOUS LES MEMBRES ET DEVELOPPER LE GOUT DU JEU DE BOULES.";"000000";"000000";"MAIRIE";"";"";"46150";"CATUS";"46064";"PM";"";"reprise auto => date publication création au JO à vérifier";"A";"";"2006-01-24  01:20:47"
"461P0461000007";"0461000007";"";"461P";"0001-01-01";"1934-08-22";"D";"S";"AMICALE BOULISTE DES BADERNES";"DEVELOPPEMENT DU SPORT BOULES";"000000";"000000";"BAR DES ALLEES";"131,RUE SAINT-GERY";"";"46000";"CAHORS";"46042";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-01-24  01:20:47"
"461P0461000009";"0461000009";"";"461P";"0001-01-01";"1934-12-23";"D";"S";"L'AVANT-GARDE.";"SPORTS.";"000000";"000000";"MAIRIE";"";"";"46260";"LIMOGNE-EN-QUERCY";"46173";"PM";"";"reprise auto => date publication création au JO à vérifier";"A";"";"2006-01-24  01:20:47"
"461P0461000010";"0461000010";"";"461P";"0001-01-01";"1903-07-18";"D";"S";"ASSOCIATION LA PROVIDENCE";"FAVORISER L'EDUCATION ET L'INSERTION DES JEUNES EN DIFFICULTES ET PARTICIPER A L'ANIMATION LOCALE";"000000";"000000";"MAISON D'ENFANTS LA PROVIDENCE";"11, RUE DU TOUR DE LA VIEILLE VILLE";"";"46800";"MONTCUQ";"46201";"PM";"";"W461002678";"R";"";"2014-10-01  10:32:57"
"461P0461000011";"0461000011";"";"461P";"0001-01-01";"1934-12-27";"D";"S";"SECTION LOCALE DES MUTILES ET INVALIDES DU TRAVAIL.";"DEFENSE DES VICTIMES ET INVALIDES DU TRAVAIL.";"000000";"000000";"TEYSSEDRE, BURALISTE";"";"";"46230";"LALBENQUE";"46148";"PM";"";"reprise auto => date publication création au JO à vérifier";"A";"";"2006-01-24  01:20:47"
"461P0461000012";"0461000012";"";"461P";"0001-01-01";"1908-09-02";"D";"S";"ASSOCIATION DES ANCIENNES ET ANCIENS ELEVES DU LYCEE CLEMENT-MAROT.";"MAINTENIR ET CONTINUER DES RELATIONS ACTIVES ET D'AMICALE SOLIDARITE ENTRE LES ANCIENNES ELEVES.";"000000";"000000";"LYCEE CLEMENT-MAROT,";"";"";"46000";"CAHORS";"46042";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-01-24  01:20:47"
"461P0461000014";"0461000014";"";"461P";"0001-01-01";"1910-06-28";"D";"S";"UNION AMICALE DES TRAVAILLEURS DE PUY-L'EVEQUE";"ENTENTE AMICALE";"000000";"000000";"";"";"";"46700";"PUY-L'EVEQUE";"46231";"PM";"";"reprise auto => date publication création au JO à vérifier";"A";"";"2006-01-24  01:20:47"
"461P0461000015";"0461000015";"";"461P";"0001-01-01";"1935-03-15";"D";"S";"AMICALE VARADETHOISE DU SOUVENIR.";"SECOURS MUTUELS.";"000000";"000000";"MAIRIE";"";"";"46260";"VARAIRE";"46328";"PM";"";"reprise auto => date publication création au JO à vérifier";"A";"";"2006-01-24  01:20:47"
"461P0461000016";"0461000016";"";"461P";"0001-01-01";"1935-04-21";"D";"S";"CERCLE D'ESCRIME CADURCIEN.";"ESCRIME, CULTURE PHYSIQUE.";"000000";"000000";"CAFE TIVOLI";"";"";"46000";"CAHORS";"46042";"PM";"";"reprise auto => date publication création au JO à vérifier";"A";"";"2006-01-24  01:20:47"
"461P0461000017";"0461000017";"";"461P";"0001-01-01";"1935-05-07";"D";"S";"BOULE MONTGESTICOISE.";"PRATIQUE DU SPORT BOULES.";"000000";"000000";"MAIRIE";"";"";"46150";"MONTGESTY";"46205";"PM";"";"reprise auto => date publication création au JO à vérifier";"A";"";"2006-01-24  01:20:47"
