id;id_ex;siret;gestion;date_creat;date_publi;nature;groupement;titre;objet;objet_social1;objet_social2;adr1;adr2;adr3;adrs_codepostal;libcom;adrs_codeinsee;dir_civilite;siteweb;observation;position;rup_mi;maj_time
"2B2P02B1000002";"02B1000002";"";"2B2P";"0001-01-01";"1945-07-04";"D";"S";"ASSOCIATION DES CHEFS DE FAMILLE DE BASTIA";"D'INCITER LES CHEFS DE FAMILLE A METTRE LA FORMATION DE LA JEUNESSAU PREMIER RANG DE LEURS OBLIGATIONS SOCIALES.";"000000";"000000";"9 BD GENERAL GIRAUD";"";"";"20200";"BASTIA";"2B033";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-02  02:58:51"
"2B2P02B1000003";"02B1000003";"";"2B2P";"0001-01-01";"1945-08-04";"D";"S";"CERCLE DU PARTI OUVRIER PAYSAN";"D'ENTRETENIR DES LIENS D'AMITIE ET DE CAMARADERI ENTRE SES MEMBRES";"000000";"000000";"";"";"";"20290";"CROCICCHIA";"2B102";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-02  02:58:51"
"2B2P02B1000004";"02B1000004";"";"2B2P";"0001-01-01";"1945-04-10";"D";"S";"CERCLE DE L'UNION DE VIGNALE";"RESSERER LES LIENS D'AMITIE ET DE SOLIDARITE ENTRE LES HABITANTS.";"000000";"000000";"";"";"";"20290";"VIGNALE";"2B350";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-02  02:58:51"
"2B2P02B1000005";"02B1000005";"";"2B2P";"0001-01-01";"1947-07-20";"D";"S";"CERCLE DES AMIS";"D'ENTRETENIR DES LIENS D'AMITE ET DE CAMARADERIE ENTRE SES MEMBRES";"000000";"000000";"";"";"";"20290";"ORTIPORIO";"2B195";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-02  02:58:51"
"2B2P02B1000006";"02B1000006";"";"2B2P";"0001-01-01";"1933-07-01";"D";"S";"ASSOCIATION MONTE - PIANO";"CREATION, DEVELOPPEMENT D'OEUVRES MORALES ET SOCIALES.";"000000";"000000";"9 BOULEVARD GENERAL GIRAUD";"";"";"20200";"BASTIA";"2B033";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-02  02:58:51"
"2B2P02B1000007";"02B1000007";"";"2B2P";"0001-01-01";"1945-06-25";"D";"S";"COMITE DES FETES DU QUARTIER DU NOUVEAU MARCHE";"DE DONNER DES FETES, BALS, KERMESS, QUI AURONT LIEU, SOIT A LA SALLE DES FETES DU THE~ID~TRE MUNICIPAL, SOIT SUR LA PLACE.";"000000";"000000";"PLACE DU MARCHE";"";"";"20200";"BASTIA";"2B033";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-02  02:58:51"
"2B2P02B1000008";"02B1000008";"";"2B2P";"0001-01-01";"1944-07-27";"D";"S";"ASSOCIATION SAINT-ANTOINE";"D'ENTRETENIR LE FOYER SAINT-ANTOINE COMME CENTRE DE PELERINAGE ET D'ACTION RELIGIEUSE ET DE PREPARER PAR UNE CULTURE INTELLECTUELLE MORALE ET RELIGIEUSE DES EDUCATEURS POPULAIRES AUSSI BIEN POUR LA VILLE QUE POUR LA CAMPAGNE.";"000000";"000000";"COUVENT SAINT ANTOINE";"ROUTR DE ST.FLORENT";"";"20200";"BASTIA";"2B033";"PM";"";"W2B2002703";"R";"";"2015-07-30  07:12:07"
"2B2P02B1000009";"02B1000009";"";"2B2P";"0001-01-01";"1945-06-15";"D";"S";"CERCLE DES COMBATTANTS";"ENTRETENIR LES LIENS D'AMITIE ET DE CAMARADERIE ENTRE TOUS MEMBRES";"000000";"000000";"";"";"";"20290";"CROCICCHIA";"2B102";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-02  02:58:51"
"2B2P02B1000010";"02B1000010";"";"2B2P";"0001-01-01";"1945-05-30";"D";"S";"CENTRE D'ETUDES ET D'AMITIE DE BASTIA";"ETUDE DE TOUT PROGRAMME SCOLAIRE.";"000000";"000000";"7 BD AUGUSTE GAUDIN";"";"";"20200";"BASTIA";"2B033";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-02  02:58:51"
"2B2P02B1000011";"02B1000011";"";"2B2P";"0001-01-01";"1944-05-13";"D";"S";"CERCLE LES SABLETTES";"ENTRETENIR DES RELATIONS AMICALES ENTRE SES MEMBRES.";"000000";"000000";"4 RUE SAINT JEAN";"";"";"20200";"BASTIA";"2B033";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-02  02:58:51"
"2B2P02B1000012";"02B1000012";"";"2B2P";"0001-01-01";"1944-07-18";"D";"S";"CERCLE REPUBLICAIN";"ECHANGE DE VUES.";"000000";"000000";"HOTEL DE FRANCE";"BOULEVARD PAOLI";"";"20200";"BASTIA";"2B033";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-02  02:58:51"
"2B2P02B1000013";"02B1000013";"";"2B2P";"0001-01-01";"1944-07-09";"D";"S";"LA RASCASSE";"DE REGROUPER LES AMATEURS QUI S'ADONNENT A LA PECHE EN MER.";"000000";"000000";"RUE NAPOLEON";"";"";"20200";"BASTIA";"2B033";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-02  02:58:51"
"2B2P02B1000014";"02B1000014";"";"2B2P";"0001-01-01";"1944-05-17";"D";"S";"ASSOCIATION D'ETUDES COMMERCIALES";"ETUDE DE TOUTES QUESTIONS COMMERCIALES ET FISCALES CONCERNANT SES MEMBRES.";"000000";"000000";"11 AVENUE CARNOT";"";"";"20200";"BASTIA";"2B033";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-02  02:58:51"
"2B2P02B1000015";"02B1000015";"";"2B2P";"0001-01-01";"1944-05-11";"D";"S";"ASSOCIATION DES FEMMES DES PRISONNIERS DE GUERRE";"DEFENSE DES INTERETS DES PRISONNIERS DE GUERRE.";"000000";"000000";"HAMEAU DE CARDO";"";"";"20200";"BASTIA";"2B033";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-02  02:58:51"
"2B2P02B1000016";"02B1000016";"";"2B2P";"0001-01-01";"1946-03-11";"D";"S";"CERCLE DES COMBATTANTS";"ENTRETENIR LES LIENS D'AMITIE ENTRE LES ANCIENS COMBATTANTS.";"000000";"000000";"";"";"";"20215";"PORRI";"2B245";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-02  02:58:51"
"2B2P02B1000017";"02B1000017";"";"2B2P";"0001-01-01";"1946-03-01";"D";"S";"CERCLE DU CARREFOUR";"ANIMATION DU VILLAGE.";"000000";"000000";"";"";"";"20230";"TALASANI";"2B319";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-02  02:58:51"
"2B2P02B1000018";"02B1000018";"";"2B2P";"0001-01-01";"1946-02-28";"D";"S";"CERCLE DE L'UNION DE SAN GIOVANNI";"ETABLIR ENTRE TOUS SES MEMBRES DES RELATIONS AMICALES ET DES LIENSDE SOLIDARITE.";"000000";"000000";"HAMEAU DE TRIBBIOLO";"";"";"20230";"SAN-GIOVANNI-DI-MORIANI";"2B302";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-02  02:58:51"
"2B2P02B1000019";"02B1000019";"";"2B2P";"0001-01-01";"1945-12-11";"D";"S";"AVENIR CYCLISTE BASTIAIS";"ORGANISER DES RANDONNEES, COURSES CYCLISTES ET VELO TOUT TERRAIN.";"000000";"000000";"BAR 'DE LA PAIX'";"TOGA";"";"20200";"BASTIA";"2B033";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-02  02:58:51"
"2B2P02B1000020";"02B1000020";"";"2B2P";"0001-01-01";"1945-10-17";"D";"S";"RED STAR CLUB BASTIAIS";"PRATIQUE DU SPORT.";"000000";"000000";"VIEUX PORT";"";"";"20200";"BASTIA";"2B033";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-02  02:58:51"
"2B2P02B1000021";"02B1000021";"";"2B2P";"0001-01-01";"1946-01-09";"D";"S";"ASSOCIATION FAMILIALE DE SAINTE LUCIE DE MORIANI";"SOUTENIR ET DEFENDRE LES INTERETS DES FAMILLES.";"000000";"000000";"MAISON BONALDI";"";"";"20230";"SANTA-LUCIA-DI-MORIANI";"2B307";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-02  02:58:51"
"2B2P02B1000022";"02B1000022";"";"2B2P";"0001-01-01";"1939-02-22";"D";"S";"ASSOCIATION SPORTIVE & ELECTRICITE";"PRATIQUE DU SPORT ET DU FOOTBALL.";"000000";"000000";"USINE A GAZ";"";"";"20200";"BASTIA";"2B033";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-02  02:58:51"
"2B2P02B1000023";"02B1000023";"";"2B2P";"0001-01-01";"1945-12-06";"D";"S";"CERCLE DE LA RESISTANCE";"ENTRETENIR LES LIENS D'AMITIE ET DE CAMARADERIE ENTRE TOUS SES MEMBRES.";"000000";"000000";"";"";"";"20290";"PENTA-ACQUATELLA";"2B206";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-02-02  02:58:51"
