id;id_ex;siret;gestion;date_creat;date_publi;nature;groupement;titre;objet;objet_social1;objet_social2;adr1;adr2;adr3;adrs_codepostal;libcom;adrs_codeinsee;dir_civilite;siteweb;observation;position;rup_mi;maj_time
"881P10001";"10001";"";"881P";"1985-06-12";"1985-06-26";"D";"S";"LES COQUELICOTS";"indefini";"006000";"006040";"Mairie";"";"";"88600";"LAVELINE-DEVANT-BRUYERES";"00000";"PM";"";"";"A";"";"0001-01-01  01:50:39"
"881P10004";"10004";"";"881P";"1985-06-14";"1985-06-26";"D";"S";"CLASSE 1987";"indefini";"007000";"014080";"Mairie";"";"";"88510";"ELOYES";"00000";"PM";"";"";"A";"";"0001-01-01  01:50:39"
"881P10007";"10007";"";"881P";"1985-06-18";"1985-07-03";"D";"S";"PROJET D'ETUDE ET DE REALISATION D'UN SERVICE INFORMATIQUE LOCAL (PERSIL)";"indefini";"000000";"000000";"8 Rue des Capucins";"";"";"88330";"CHATEL SUR MOSELLE";"00000";"PM";"";"";"A";"";"0001-01-01  01:50:39"
"881P10009";"10009";"";"881P";"1985-06-20";"1985-07-03";"D";"S";"COMPAGNIE THEATRALE DE REMIREMONT";"indefini";"006000";"006070";"10 Rue Capitaine Flayelle";"";"";"88200";"REMIREMONT";"00000";"PM";"";"";"A";"";"0001-01-01  01:50:39"
"881P1001";"1001";"";"881P";"1921-10-05";"1921-11-01";"D";"S";"SOCIETE D'HYGIENE SOCIALE DE L'ARRONDISSEMENT DE REMIREMONT";"indefini";"020000";"000000";"Mairie";"";"";"88200";"REMIREMONT";"00000";"PM";"";"";"A";"";"0001-01-01  01:50:39"
"881P10013";"10013";"";"881P";"1985-06-21";"1985-07-03";"D";"S";"SOCIETE DE CHASSE COMMUNALE D'ANGLEMONT";"indefini";"007000";"013005";"Mairie";"";"";"88700";"ANGLEMONT";"00000";"PM";"";"";"A";"";"0001-01-01  01:50:39"
"881P10014";"10014";"";"881P";"1985-06-21";"1985-07-03";"D";"S";"FOYER SOCIO EDUCATIF DU LYCEE D'ENSEIGNEMENT PROFESSIONNEL DE THAON-LES- VOSGES";"indefini";"015000";"015065";"L.E.P.5 Rue Auguste Dedecker";"";"";"88150";"THAON-LES-VOSGES";"00000";"PM";"";"";"A";"";"0001-01-01  01:50:39"
"881P10015";"10015";"";"881P";"1985-06-21";"1985-07-03";"D";"S";"AMICALE DU PERSONNEL DE LA MAISON DE RETRAITE DE PLOMBIERES LES BAINS";"indefini";"003000";"014030";"Maison de retraite";"2 à 6 rue Grillot";"";"88370";"PLOMBIERES-LES-BAINS";"00000";"PM";"";"";"A";"";"0001-01-01  01:50:39"
"881P10018";"10018";"";"881P";"1985-06-25";"1985-07-10";"D";"S";"BRICOLOISIRS LA POSTE FRANCE TELECOM";"indefini";"007000";"000000";"Recette Principale des Postes";"8 Rue De Lattre de Tassigny";"";"88000";"EPINAL";"00000";"PM";"";"";"A";"";"0001-01-01  01:50:39"
"881P10019";"10019";"";"881P";"1985-06-27";"1985-07-10";"D";"S";"ASSOCIATION DES COMMERCANTS ET ARTISANS DE CHANTRAINE";"indefini";"003000";"022535";"5 Rue Varroy";"";"";"88000";"CHANTRAINE";"00000";"PM";"";"";"A";"";"0001-01-01  01:50:39"
"881P10020";"10020";"";"881P";"1985-06-28";"1985-07-10";"D";"S";"COMITE DES FETES DE CHARMOIS DEVANT BRUYERES";"indefini";"007000";"009030";"Salle polyvalente";"";"";"88460";"CHARMOIS DEVANT BRUYERES";"00000";"PM";"";"";"A";"";"0001-01-01  01:50:39"
"881P10021";"10021";"";"881P";"1985-07-01";"1985-07-17";"D";"S";"COMITE DES OEUVRES SOCIALES DES DELEGATIONS DU CENTRE DE FORMATION DES PERSONNELS COMMUNAUX POUR LA REGION LORRAINE";"indefini";"003000";"014030";"Ecole Rimey.Rue Jules Mèline";"";"";"88000";"EPINAL";"00000";"PM";"";"";"A";"";"0001-01-01  01:50:39"
"881P10022";"10022";"";"881P";"1985-07-01";"1985-07-17";"D";"S";"FOOTBALL_CLUB.UNICO";"indefini";"011000";"011075";"Centre commercial  ""Les Primevères "".ZAC";"";"";"88000";"EPINAL";"00000";"PM";"";"";"A";"";"0001-01-01  01:50:39"
"881P10025";"10025";"";"881P";"1985-07-03";"1985-07-17";"D";"S";"LES BALLADINS";"indefini";"006000";"006070";"""La Butte """;"";"";"88200";"REMIREMONT";"00000";"PM";"";"";"A";"";"0001-01-01  01:50:39"
"881P10028";"10028";"";"881P";"1985-07-04";"1985-07-17";"D";"S";"PHYSIQUE-CLUB LA BRESSE";"indefini";"011000";"011105";"14,Grande Rue";"";"";"88250";"BRESSE (LA)";"00000";"PM";"";"";"A";"";"0001-01-01  01:50:39"
"881P10030";"10030";"";"881P";"1985-07-10";"1985-07-24";"D";"S";"CINE CHATEL";"indefini";"006000";"006025";"Mairie";"";"";"88330";"CHATEL SUR MOSELLE";"00000";"PM";"";"";"A";"";"0001-01-01  01:50:39"
"881P10031";"10031";"";"881P";"1985-07-10";"1985-07-24";"D";"S";"ASSOCIATION FAMILIALE RURALE";"indefini";"000000";"000000";"Mairie";"";"";"88260";"ESCLES";"00000";"PM";"";"";"A";"";"0001-01-01  01:50:39"
"881P10036";"10036";"";"881P";"1985-07-12";"1985-07-24";"D";"S";"COMITE DEPARTEMENTAL DES VOSGES DE SPORT ADAPTE";"indefini";"011000";"011018";"21 Rue Thiers";"";"";"88000";"EPINAL";"00000";"PM";"";"";"A";"";"0001-01-01  01:50:39"
"881P10038";"10038";"";"881P";"1985-07-15";"1985-07-31";"D";"S";"ASSOCIATION DEPARTEMENTALE DES RADIO AMATEURS AU SERVICE DE LA SECURITE CIVILE DES VOSGES";"indefini";"005000";"005010";"17, rue des Pêcheurs";"";"";"88450";"VINCEY";"00000";"PM";"";"";"A";"";"0001-01-01  01:50:39"
"881P10039";"10039";"";"881P";"1985-07-16";"1985-07-31";"D";"S";"PERCE NEIGE DU BARBA -CLUB DU TROISIEME AGE";"indefini";"007000";"009040";"Mairie";"";"";"88640";"LAVELINE-DU-HOUX";"00000";"PM";"";"W881009039";"R";"";"2021-01-04  01:05:17"
"881P1004";"1004";"";"881P";"1921-07-19";"1921-08-09";"D";"S";"SOCIETE DES DECORES ET MEDAILLES MILITAIRES DE L'ARRONDISSEMENT DE REMIREMONT";"indefini";"038000";"000000";"Grande Rue";"";"";"88200";"REMIREMONT";"00000";"PM";"";"";"A";"";"0001-01-01  01:50:39"
"881P10041";"10041";"";"881P";"1985-07-19";"1985-07-31";"D";"S";"CLUB INFORMATIQUE ET VIDEO  DU BAN DE VAGNEY";"indefini";"000000";"000000";"17,Rue des Réservoirs.";"";"";"88120";"VAGNEY";"00000";"PM";"";"";"A";"";"0001-01-01  01:50:39"
"881P10043";"10043";"";"881P";"1985-07-31";"1985-08-14";"D";"S";"CLUB DES COMMERCANTS DU QUARTIER DE LA GARE A EPINAL";"indefini";"003000";"022535";"8 Rue des Etats - Unis";"";"";"88000";"EPINAL";"00000";"PM";"";"";"A";"";"0001-01-01  01:50:39"
"881P10044";"10044";"";"881P";"1985-08-01";"1985-08-14";"D";"S";"A.S HABONNEL";"indefini";"011000";"011075";"Bar Le Moderne .18,Rue François Blaudez";"";"";"88000";"EPINAL";"00000";"PM";"";"";"A";"";"0001-01-01  01:50:39"
"881P10059";"10059";"";"881P";"1985-08-07";"1985-08-21";"D";"S";"SPELEO-CLUB 2000";"indefini";"000000";"000000";"Rue des Sources";"";"";"88600";"LEPANGES/VOLOGNE";"00000";"PM";"";"";"A";"";"0001-01-01  01:50:39"
